<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DHG,20131219,47.50,47.50,47.08,47.08,3670
DHG,20131218,47.92,47.92,47.08,47.92,7550
DHG,20131217,47.50,47.92,47.08,47.92,9750
DHG,20131216,47.92,47.92,47.50,47.92,6200
DHG,20131213,47.50,47.92,47.08,47.92,2110
DHG,20131212,46.24,47.50,46.24,47.50,14290
DHG,20131211,47.08,47.08,46.24,46.66,9040
DHG,20131210,46.66,47.08,46.24,47.08,2690
DHG,20131209,46.66,47.08,46.66,47.08,10990
DHG,20131206,47.08,47.08,46.66,47.08,3620
DHG,20131205,47.08,47.08,46.66,47.08,13050
DHG,20131204,46.66,46.66,46.24,46.66,20740
DHG,20131203,45.82,46.66,45.82,46.66,8410
DHG,20131202,46.24,46.24,45.40,46.24,200
DHG,20131129,44.98,46.24,44.98,46.24,8890
DHG,20131128,44.56,45.40,44.56,45.40,13900
DHG,20131127,44.98,45.40,44.98,45.40,560
DHG,20131126,45.82,45.82,44.56,44.98,4290
DHG,20131125,45.40,45.40,44.98,45.40,8460
DHG,20131122,45.82,45.82,44.98,45.40,680
DHG,20131121,45.40,45.82,44.56,44.56,24790
DHG,20131120,45.82,45.82,45.40,45.82,1320
DHG,20131119,46.24,46.66,45.40,46.24,960
DHG,20131118,46.66,46.66,46.24,46.24,3250
DHG,20131115,45.82,46.24,45.82,46.24,10470
DHG,20131114,45.40,45.82,45.40,45.40,8610
DHG,20131113,45.40,45.40,44.98,45.40,5510
DHG,20131112,44.98,45.40,44.56,45.40,14970
DHG,20131111,45.40,45.40,44.98,45.40,3460
DHG,20131108,45.82,45.82,45.40,45.40,8240
DHG,20131107,45.40,45.82,44.98,45.40,6840
DHG,20131106,45.82,45.82,44.98,45.82,9420
DHG,20131105,45.82,45.82,45.40,45.40,4310
DHG,20131104,45.40,45.82,45.40,45.82,20500
DHG,20131101,45.82,46.24,45.40,46.24,18580
DHG,20131031,46.24,46.66,45.82,45.82,2980
DHG,20131030,46.24,47.08,46.24,46.66,8240
DHG,20131029,45.82,46.24,45.82,46.24,4730
DHG,20131028,47.08,47.08,45.82,45.82,22880
DHG,20131025,47.50,47.50,46.24,46.66,7830
DHG,20131024,47.50,47.50,46.24,46.66,26120
DHG,20131023,47.50,47.50,47.08,47.50,26130
DHG,20131022,47.92,48.34,47.08,47.50,25840
DHG,20131021,48.76,48.76,47.92,48.76,16990
DHG,20131018,47.50,48.34,47.08,48.34,10170
DHG,20131017,48.34,48.34,47.50,47.92,12610
DHG,20131016,48.34,48.34,48.34,48.34,1010
DHG,20131015,47.92,48.76,47.92,48.34,18830
DHG,20131014,49.18,49.18,48.34,48.76,13820
DHG,20131011,49.18,49.18,48.34,48.76,15520
DHG,20131010,48.34,48.34,47.92,48.34,17350
DHG,20131009,47.50,47.92,47.50,47.92,21550
DHG,20131008,46.66,47.50,46.66,47.50,19590
DHG,20131007,46.66,47.08,46.66,46.66,11510
DHG,20131004,47.08,47.08,46.66,47.08,13990
DHG,20131003,47.50,47.92,47.08,47.50,14030
